iter	Passed	Remaining
0	42	21055
1	82	20599
2	123	20485
3	164	20385
4	202	20087
5	239	19731
6	276	19446
7	319	19619
8	353	19311
9	390	19121
10	430	19130
11	468	19047
12	504	18905
13	541	18809
14	576	18624
15	611	18490
16	648	18416
17	687	18420
18	725	18361
19	761	18285
20	797	18183
21	832	18092
22	873	18125
23	909	18039
24	944	17953
25	979	17848
26	1017	17822
27	1051	17720
28	1090	17705
29	1126	17649
30	1158	17529
31	1190	17418
32	1226	17353
33	1265	17338
34	1305	17345
35	1346	17352
36	1390	17398
37	1433	17423
38	1477	17465
39	1521	17500
40	1564	17513
41	1603	17484
42	1649	17525
43	1687	17484
44	1729	17489
45	1765	17425
46	1798	17332
47	1866	17579
48	1914	17624
49	1954	17592
50	1988	17508
51	2021	17418
52	2062	17397
53	2102	17365
54	2156	17446
55	2194	17402
56	2234	17366
57	2272	17318
58	2310	17267
59	2346	17209
60	2384	17157
61	2416	17069
62	2454	17027
63	2491	16976
64	2528	16919
65	2563	16855
66	2596	16779
67	2630	16711
68	2668	16670
69	2709	16641
70	2746	16594
71	2778	16517
72	2818	16484
73	2858	16454
74	2892	16389
75	2927	16334
76	2964	16282
77	2998	16222
78	3036	16184
79	3074	16143
80	3113	16103
81	3151	16062
82	3182	15987
83	3218	15941
84	3256	15899
85	3296	15867
86	3331	15816
87	3370	15781
88	3402	15711
89	3440	15675
90	3478	15633
91	3510	15569
92	3549	15533
93	3591	15511
94	3625	15454
95	3663	15418
96	3702	15382
97	3737	15333
98	3770	15272
99	3802	15208
100	3832	15139
101	3870	15102
102	3909	15070
103	3942	15011
104	3980	14975
105	4017	14932
106	4059	14908
107	4098	14875
108	4138	14845
109	4177	14812
110	4213	14765
111	4250	14726
112	4287	14682
113	4322	14637
114	4360	14598
115	4400	14566
116	4431	14507
117	4470	14471
118	4499	14404
119	4535	14362
120	4569	14311
121	4607	14276
122	4647	14243
123	4697	14244
124	4735	14207
125	4777	14179
126	4814	14139
127	4851	14099
128	4888	14060
129	4925	14020
130	4957	13963
131	4993	13921
132	5031	13883
133	5069	13847
134	5114	13827
135	5158	13805
136	5200	13779
137	5274	13835
138	5319	13816
139	5367	13800
140	5401	13752
141	5443	13723
142	5481	13684
143	5512	13627
144	5550	13589
145	5589	13551
146	5628	13515
147	5662	13468
148	5698	13422
149	5730	13371
150	5763	13320
151	5800	13279
